entity_id,date,timestamp,category,magnitude,keyMetric,headline,security_keyword_flag
alchemix-usd,2026-05-19,1779148800,Technical,Medium,New bridges with v3 alchemists,Alchemix introduces v3 architecture with new cross-chain bridges,0
angle-protocol,2026-03-04,1772582400,Technical,Medium,One-year transition period,"Angle Protocol community votes to phase out EURA and USDA stablecoins, implementing a one-year transition with 1:1 redemption for EURC and USDC.",0
binance-idr,2026-01-15,1768435200,Expansion,Medium,Supports multiple crypto assets,Launched USD1 trading pairs,0
binance-idr,2026-01-14,1768348800,Expansion,High,Reached thousands in 8 cities,Completed Web3 University Tour,0
binance-idr,2025-07-31,1753920000,Expansion,Medium,New gaming Web3 token,Listed SKYA token,0
binance-idr,2024-09-18,1726617600,Expansion,High,Popular memecoin addition,Listed Baby Doge Coin,0
binance-usd,2026-05-08,1778198400,Expansion,Medium,Binance.US revival proposal,Binance founder CZ proposes reviving Binance.US for US users,0
binance-usd,2026-03-12,1773273600,Institutional,Medium,New CEO appointment,Binance.US appoints Stephen Gregory as new CEO,0
binance-usd,2026-03-04,1772582400,Expansion,Low,New trading pair added,Binance.US lists NPC token and opens NPC/USDT trading pair for transactions.,0
binance-usd,2026-01-30,1769731200,Institutional,High,$1 billion fund converted to USDC,Binance transferred its $1 billion SAFU fund to a new wallet and converted all assets to USDC for stability.,0
binance-usd,2026-01-26,1769385600,Expansion,Medium,5x leverage on TSLA contracts,Binance relaunches Tesla stock trading with leveraged perpetual contracts after five-year hiatus.,0
binance-usd,2026-01-26,1769385600,Expansion,Medium,5x leverage on Tesla perpetual contracts,Binance relaunches Tesla stock trading with leveraged perpetual contracts,0
binance-usd,2025-12-24,1766534400,Technical,High,Multi-stablecoin collateral basket,"Binance launches new $U stablecoin backed by multiple stablecoins including USDC, USDT, and USD1.",0
binance-usd,2025-12-12,1765497600,Expansion,Medium,Zero-fee USD1 trading pairs,Binance integrates Trump-linked USD1 stablecoin with zero-fee trading pairs and collateral backing.,0
binance-usd,2025-12-11,1765411200,Technical,Medium,Multiple zero-fee trading pairs established,Binance integrates Trump-linked stablecoin with zero-fee trading,0
dam-finance,2022-08-19,1660867200,Growth,High,Raised $1.8M,Raised $1.8M in Pre-Seed Round led by Arrington XRP Capital,0
euro-coin,2026-04-21,1776729600,Institutional,High,12 major European banks involved,Qivalis consortium of 12 European banks advances euro stablecoin development with Fireblocks partnership,0
fdusd,2026-02-12,1770854400,Expansion,Medium,Delisted 10+ trading pairs across multiple dates,Binance systematically delists multiple spot and margin trading pairs to optimize exchange offerings,0
fdusd,2025-12-18,1766016000,Institutional,Medium,CZ labels FDUSD as 1.5 generation stablecoin,Binance Founder CZ Highlights FDUSD as 1.5 Generation Stablecoin with Growth Potential,0
fdusd,2025-11-04,1762214400,Technical,Medium,Multiple delisting rounds affecting 100+ trading pairs,Binance systematically delists low-performing trading pairs,0
fdusd,2025-10-31,1761868800,Expansion,Medium,KITE listed with FDUSD staking,Binance Launchpool lists Kite (KITE) with FDUSD staking option,0
fei-usd,2021-03-08,1615161600,Growth,High,Raised $19.0M,Raised $19.0M in Series A Round led by Coinbase Ventures,0
fraxfinance,2026-01-15,1768435200,Expansion,High,"Earn, Buy Crypto, Spot, Margin, Futures live",Launched FRAX trading features on Binance,0
fraxfinance,2026-01-12,1768176000,Expansion,High,FRAX/USDT pair live,Activated FRAX spot trading on Bybit,0
fraxfinance,2026-01-08,1767830400,Expansion,Medium,Up to 200% APY incentives,Launched frxUSD PegKeeper pool with pmUSD,0
fraxfinance,2026-01-07,1767744000,Expansion,Medium,"Trading, deposits, withdrawals supported",Upgraded FXS to FRAX on Crypto.com,0
fraxfinance,2025-12-26,1766707200,Expansion,High,Mainnet swap and rebranding live,Supported FXS to FRAX upgrade on Binance,0
fraxfinance,2025-12-23,1766448000,Expansion,Medium,Token swap and rebranding supported,Upgraded FXS to FRAX on MEXC,0
fraxfinance,2025-12-20,1766188800,Technical,Medium,Commemorative NFTs backed by assets,Launched Fraxiversary NFT collection,0
fraxfinance,2025-12-17,1765929600,Expansion,Medium,Up to 50% APR staking,Launched frxUSD/fxUSD PegKeeper pool,0
fraxfinance,2025-12-11,1765411200,Expansion,High,First Korean won stablecoin,Launched KRWQ on FraxNet,0
fraxfinance,2025-12-08,1765152000,Growth,Medium,Incentives live on Deli Swap,Activated frxUSD/wBLT pool incentives,0
fraxfinance,2025-12-05,1764892800,Expansion,Medium,Token swap supported,Upgraded FXS to FRAX on Bitget,0
fraxfinance,2025-11-13,1762992000,Technical,Medium,Private transactions enabled,Launched frxUSD on Privacy Pools,0
fraxfinance,2025-11-11,1762819200,Expansion,Medium,sfrxUSD collateral with rewards,Launched incentives on Featherlend SeiNetwork,0
fraxfinance,2025-10-30,1761782400,Technical,Medium,frxUSD vault and sfrxUSD market live,Deployed assets on Morpho Katana,0
fraxfinance,2025-10-16,1760572800,Expansion,Medium,sfrxUSD as collateral with 91.5% LTV,Launched Featherlend on SeiNetwork,0
fraxfinance,2025-09-19,1758240000,Expansion,Medium,"$4M supplied, low borrow rates",Launched frxUSD on Euler Finance,0
gemini-dollar,2026-01-10,1768003200,Technical,High,"Supports BTC/USD, ETH/USD, SOL/USD, XRP/USD pairs",Launched margin trading with 5x leverage,0
gemini-dollar,2025-12-29,1766966400,Expansion,Medium,Deposits and withdrawals enabled,Listed BNB for trading and deposits,0
gemini-dollar,2025-12-11,1765411200,Institutional,High,Designated contract market license granted,Gemini affiliate secures US prediction markets license,1
gemini-dollar,2025-09-08,1757289600,Growth,High,Raised $50.0M,Raised $50.0M in Private Sale Round,0
global-dollar,2026-01-14,1768348800,Expansion,High,6.4% supply incentives,Launched USDG on Aave,0
global-dollar,2026-01-08,1767830400,Expansion,Medium,Turkey-based exchange integration,Kuantist joined Global Dollar Network,0
global-dollar,2026-01-07,1767744000,Expansion,Medium,Solana DeFi yield expansion,Launched USDG vault on Elemental,0
global-dollar,2025-12-18,1766016000,Expansion,Medium,Solana liquidity deepening,Integrated USDG with BiLira,0
global-dollar,2025-12-11,1765411200,Expansion,Medium,170+ countries on-ramp,Launched USDG on AlchemyPay ramp,0
global-dollar,2025-12-05,1764892800,Expansion,High,Secure exchange integration,Listed USDG on Gemini,0
global-dollar,2025-12-04,1764806400,Growth,High,Ecosystem expansion milestone,Achieved 100+ network members,0
global-dollar,2025-12-03,1764720000,Expansion,Medium,Yield-bearing asset conversion,Integrated USDG with OnRe Finance,0
global-dollar,2025-11-26,1764115200,Expansion,High,40M user access expansion,KuCoin joined Global Dollar Network,0
global-dollar,2025-11-20,1763596800,Technical,High,Staking rewards in USDG,Launched Marinade SOL-to-USDG Recipe,0
global-dollar,2025-11-18,1763424000,Technical,High,LayerZero-powered expansion,Launched USDG0 multi-chain infrastructure,0
